Date,Open,High,Low,Close,Adj Close,Volume
1997-08-22,4190.76,4278.30,4168.09,4242.06,4242.01,0
1997-08-25,4247.71,4364.46,4247.09,4363.03,4362.98,0
1997-08-26,4373.53,4422.50,4346.98,4386.52,4386.47,0
1997-08-27,4374.02,4411.14,4339.46,4408.39,4408.34,0
1997-08-28,4408.58,4468.87,4373.45,4438.32,4438.27,0
1997-08-29,4440.07,4450.74,4370.82,4398.73,4398.68,0
1997-09-01,4375.84,4411.94,4348.44,4372.70,4372.65,0
1997-09-02,4372.53,4412.34,4351.71,4398.77,4398.72,0
1997-09-03,4404.48,4492.87,4404.48,4490.54,4490.49,0
1997-09-04,4510.17,4524.57,4477.21,4500.38,4500.33,0
1997-09-05,4497.39,4499.09,4460.54,4491.27,4491.22,0
1997-09-08,4488.35,4505.40,4458.06,4497.25,4497.20,0
1997-09-09,4492.30,4514.62,4436.58,4436.84,4436.79,0
1997-09-10,4418.63,4499.85,4411.32,4498.96,4498.91,0
1997-09-11,4508.89,4538.92,4443.11,4466.11,4466.06,0
1997-09-12,4463.46,4475.39,4365.09,4365.62,4365.57,0
1997-09-15,4356.06,4356.06,4235.26,4241.25,4241.20,0
1997-09-16,4254.39,4297.49,4230.10,4261.33,4261.28,0
1997-09-17,4261.54,4276.71,4188.25,4202.27,4202.22,0
1997-09-18,4206.34,4235.73,4177.07,4206.44,4206.39,0
1997-09-19,4212.61,4241.77,4199.82,4238.96,4238.91,0
1997-09-22,4241.18,4245.63,3950.11,3953.87,3953.83,0
1997-09-23,3907.98,3936.54,3661.40,3698.91,3698.87,0
1997-09-24,3784.28,3921.89,3771.63,3910.29,3910.25,0
1997-09-25,3969.44,4001.81,3903.45,3948.16,3948.12,0
1997-09-26,3952.71,3961.46,3852.77,3935.65,3935.61,0
1997-09-29,3901.23,3901.23,3814.13,3857.52,3857.48,0
1997-09-30,3846.44,3930.33,3834.16,3916.96,3916.92,0
1997-10-06,3963.62,3965.79,3881.10,3907.94,3907.90,0
1997-10-07,3899.78,3925.46,3853.90,3924.79,3924.75,0
1997-10-08,3996.62,4081.02,3949.87,4061.22,4061.17,0
1997-10-09,4073.88,4101.87,4027.03,4038.81,4038.76,0
1997-10-10,4035.50,4076.86,4027.31,4067.50,4067.45,0
1997-10-13,4098.46,4103.26,4031.70,4039.56,4039.51,0
1997-10-14,4027.43,4041.11,3977.17,4038.31,4038.26,0
1997-10-15,4043.07,4151.91,4029.17,4130.53,4130.48,0
1997-10-16,4159.44,4277.43,4137.64,4263.55,4263.50,0
1997-10-17,4289.00,4433.13,4288.40,4390.24,4390.19,0
1997-10-20,4434.03,4511.82,4388.76,4464.59,4464.54,0
1997-10-21,4492.45,4559.29,4430.59,4552.73,4552.68,0
1997-10-22,4588.11,4750.24,4520.11,4572.67,4572.62,0
1997-10-23,4537.25,4628.61,4479.30,4591.06,4591.01,0
1997-10-24,4575.02,4655.82,4552.30,4654.13,4654.08,0
1997-10-27,4697.26,4755.26,4646.85,4679.76,4679.71,0
1997-10-28,4678.32,4678.32,4431.61,4485.90,4485.85,0
1997-10-29,4464.49,4595.56,4442.44,4594.79,4594.74,0
1997-10-30,4618.27,4660.10,4497.15,4497.61,4497.56,0
1997-10-31,4451.64,4547.16,4425.07,4523.32,4523.27,0
1997-11-03,4540.24,4581.22,4517.33,4528.51,4528.46,0
1997-11-04,4542.56,4599.91,4537.08,4597.78,4597.73,0
1997-11-05,4616.50,4676.98,4616.50,4671.34,4671.29,0
1997-11-06,4706.55,4724.79,4617.61,4618.86,4618.81,0
1997-11-07,4619.84,4667.40,4606.49,4659.31,4659.26,0
1997-11-10,4670.23,4696.90,4561.13,4601.53,4601.48,0
1997-11-11,4581.40,4610.99,4515.02,4596.46,4596.41,0
1997-11-12,4603.07,4629.77,4542.58,4546.06,4546.01,0
1997-11-13,4517.87,4645.56,4458.38,4638.57,4638.52,0
1997-11-14,4649.94,4677.85,4591.85,4608.88,4608.83,0
1997-11-17,4656.05,4662.39,4592.57,4595.62,4595.57,0
1997-11-18,4583.95,4638.59,4552.42,4553.97,4553.92,0
1997-11-19,4554.53,4578.79,4501.78,4524.48,4524.43,0
1997-11-20,4514.63,4536.45,4444.11,4459.92,4459.87,0
1997-11-21,4439.27,4460.49,4374.56,4383.38,4383.33,0
1997-11-24,4356.23,4356.23,4246.80,4248.98,4248.93,0
1997-11-25,4236.99,4304.36,4225.21,4271.84,4271.79,0
1997-11-26,4282.65,4305.16,4251.54,4296.91,4296.86,0
1997-11-27,4302.55,4302.55,4184.16,4185.33,4185.28,0
1997-11-28,4148.06,4273.70,4131.77,4268.49,4268.44,0
1997-12-01,4250.14,4255.83,4193.94,4204.54,4204.49,0
1997-12-02,4209.77,4240.75,4186.08,4189.62,4189.57,0
1997-12-03,4191.21,4209.24,4153.19,4155.40,4155.35,0
1997-12-04,4151.04,4224.55,4118.08,4213.70,4213.65,0
1997-12-05,4234.57,4282.80,4221.79,4222.11,4222.06,0
1997-12-08,4231.34,4250.81,4205.67,4209.39,4209.34,0
1997-12-09,4218.91,4248.02,4214.05,4247.36,4247.31,0
1997-12-10,4252.61,4304.29,4252.61,4280.65,4280.60,0
1997-12-11,4294.87,4308.57,4229.09,4306.25,4306.20,0
1997-12-12,4316.14,4323.97,4253.14,4260.71,4260.66,0
1997-12-15,4261.02,4272.68,4224.46,4259.17,4259.12,0
1997-12-16,4264.53,4290.70,4252.09,4284.12,4284.07,0
1997-12-17,4284.72,4284.72,4170.69,4179.65,4179.60,0
1997-12-18,4158.07,4226.14,4133.65,4166.30,4166.25,0
1997-12-19,4163.20,4182.97,4130.07,4150.65,4150.60,0
1997-12-22,4132.77,4177.36,4073.10,4134.65,4134.60,0
1997-12-23,4147.13,4199.14,4145.17,4162.18,4162.13,0
1997-12-24,4165.58,4165.58,4106.44,4119.78,4119.73,0
1997-12-25,4114.39,4123.13,4081.27,4114.42,4114.37,0
1997-12-26,4160.17,4208.36,4137.66,4166.02,4165.97,0
1997-12-29,4244.54,4259.81,4201.36,4204.01,4203.96,0
1997-12-30,4209.75,4222.92,4159.92,4172.96,4172.91,0
1997-12-31,4171.07,4189.01,4152.89,4184.84,4184.79,0
1998-01-05,4199.51,4317.38,4165.16,4317.14,4317.09,0
1998-01-06,4326.71,4336.32,4276.50,4317.71,4317.66,0
