Date,Open,High,Low,Close,Adj Close,Volume
1987-12-30,1005.19,1005.19,1005.19,1005.19,1005.19,0
1988-01-04,956.49,956.49,956.49,956.49,956.49,0
1988-01-05,996.10,996.10,996.10,996.10,996.10,0
1988-01-06,1006.01,1006.01,1006.01,1006.01,1006.01,0
1988-01-07,1014.47,1014.47,1014.47,1014.47,1014.47,0
1988-01-08,1026.69,1026.69,1026.69,1026.69,1026.69,0
1988-01-11,987.52,987.52,987.52,987.52,987.52,0
1988-01-12,986.89,986.89,986.89,986.89,986.89,0
1988-01-13,965.77,965.77,965.77,965.77,965.77,0
1988-01-14,974.46,974.46,974.46,974.46,974.46,0
1988-01-15,952.46,952.46,952.46,952.46,952.46,0
1988-01-18,1003.13,1003.13,1003.13,1003.13,1003.13,0
1988-01-19,980.18,980.18,980.18,980.18,980.18,0
1988-01-20,960.44,960.44,960.44,960.44,960.44,0
1988-01-21,949.24,949.24,949.24,949.24,949.24,0
1988-01-22,966.48,966.48,966.48,966.48,966.48,0
1988-01-25,962.63,962.63,962.63,962.63,962.63,0
1988-01-26,968.26,968.26,968.26,968.26,968.26,0
1988-01-27,959.67,959.67,959.67,959.67,959.67,0
1988-01-28,937.76,937.76,937.76,937.76,937.76,0
1988-01-29,936.00,936.00,936.00,936.00,936.00,0
1988-02-01,951.50,951.50,951.50,951.50,951.50,0
1988-02-02,955.67,955.67,955.67,955.67,955.67,0
1988-02-03,972.19,972.19,972.19,972.19,972.19,0
1988-02-04,990.22,990.22,990.22,990.22,990.22,0
1988-02-05,979.38,979.38,979.38,979.38,979.38,0
1988-02-08,986.95,986.95,986.95,986.95,986.95,0
1988-02-09,983.31,983.31,983.31,983.31,983.31,0
1988-02-10,997.14,997.14,997.14,997.14,997.14,0
1988-02-11,1024.69,1024.69,1024.69,1024.69,1024.69,0
1988-02-12,1033.49,1033.49,1033.49,1033.49,1033.49,0
1988-02-15,1049.35,1049.35,1049.35,1049.35,1049.35,0
1988-02-16,1055.77,1055.77,1055.77,1055.77,1055.77,0
1988-02-17,1053.27,1053.27,1053.27,1053.27,1053.27,0
1988-02-18,1051.94,1051.94,1051.94,1051.94,1051.94,0
1988-02-19,1046.78,1046.78,1046.78,1046.78,1046.78,0
1988-02-22,1059.48,1059.48,1059.48,1059.48,1059.48,0
1988-02-23,1069.03,1069.03,1069.03,1069.03,1069.03,0
1988-02-24,1069.90,1069.90,1069.90,1069.90,1069.90,0
1988-02-25,1091.59,1091.59,1091.59,1091.59,1091.59,0
1988-02-26,1079.40,1079.40,1079.40,1079.40,1079.40,0
1988-02-29,1083.34,1083.34,1083.34,1083.34,1083.34,0
1988-03-01,1087.32,1087.32,1087.32,1087.32,1087.32,0
1988-03-02,1080.44,1080.44,1080.44,1080.44,1080.44,0
1988-03-03,1082.24,1082.24,1082.24,1082.24,1082.24,0
1988-03-04,1075.13,1075.13,1075.13,1075.13,1075.13,0
1988-03-07,1077.37,1077.37,1077.37,1077.37,1077.37,0
1988-03-08,1079.42,1079.42,1079.42,1079.42,1079.42,0
1988-03-09,1078.62,1078.62,1078.62,1078.62,1078.62,0
1988-03-10,1082.54,1082.54,1082.54,1082.54,1082.54,0
1988-03-11,1073.45,1073.45,1073.45,1073.45,1073.45,0
1988-03-14,1071.89,1071.89,1071.89,1071.89,1071.89,0
1988-03-15,1088.13,1088.13,1088.13,1088.13,1088.13,0
1988-03-16,1098.76,1098.76,1098.76,1098.76,1098.76,0
1988-03-17,1104.27,1104.27,1104.27,1104.27,1104.27,0
1988-03-18,1123.27,1123.27,1123.27,1123.27,1123.27,0
1988-03-21,1111.62,1111.62,1111.62,1111.62,1111.62,0
1988-03-22,1107.10,1107.10,1107.10,1107.10,1107.10,0
1988-03-23,1116.11,1116.11,1116.11,1116.11,1116.11,0
1988-03-24,1100.45,1100.45,1100.45,1100.45,1100.45,0
1988-03-25,1065.71,1065.71,1065.71,1065.71,1065.71,0
1988-03-28,1037.26,1037.26,1037.26,1037.26,1037.26,0
1988-03-29,1062.33,1062.33,1062.33,1062.33,1062.33,0
1988-03-30,1066.50,1066.50,1066.50,1066.50,1066.50,0
1988-03-31,1062.33,1062.33,1062.33,1062.33,1062.33,0
1988-04-05,1063.28,1063.28,1063.28,1063.28,1063.28,0
1988-04-06,1073.02,1073.02,1073.02,1073.02,1073.02,0
1988-04-07,1081.90,1081.90,1081.90,1081.90,1081.90,0
1988-04-08,1078.41,1078.41,1078.41,1078.41,1078.41,0
1988-04-11,1088.24,1088.24,1088.24,1088.24,1088.24,0
1988-04-12,1102.33,1102.33,1102.33,1102.33,1102.33,0
1988-04-13,1094.12,1094.12,1094.12,1094.12,1094.12,0
1988-04-14,1093.12,1093.12,1093.12,1093.12,1093.12,0
1988-04-15,1071.23,1071.23,1071.23,1071.23,1071.23,0
1988-04-18,1075.13,1075.13,1075.13,1075.13,1075.13,0
1988-04-19,1083.45,1083.45,1083.45,1083.45,1083.45,0
1988-04-20,1075.76,1075.76,1075.76,1075.76,1075.76,0
1988-04-21,1067.50,1067.50,1067.50,1067.50,1067.50,0
1988-04-22,1067.06,1067.06,1067.06,1067.06,1067.06,0
1988-04-25,1066.82,1066.82,1066.82,1066.82,1066.82,0
1988-04-26,1053.71,1053.71,1053.71,1053.71,1053.71,0
1988-04-27,1054.30,1054.30,1054.30,1054.30,1054.30,0
1988-04-28,1058.25,1058.25,1058.25,1058.25,1058.25,0
1988-04-29,1049.17,1049.17,1049.17,1049.17,1049.17,0
1988-05-02,1052.84,1052.84,1052.84,1052.84,1052.84,0
1988-05-03,1040.95,1040.95,1040.95,1040.95,1040.95,0
1988-05-04,1047.39,1047.39,1047.39,1047.39,1047.39,0
1988-05-05,1044.66,1044.66,1044.66,1044.66,1044.66,0
1988-05-06,1037.24,1037.24,1037.24,1037.24,1037.24,0
1988-05-09,1023.62,1023.62,1023.62,1023.62,1023.62,0
1988-05-10,1010.15,1010.15,1010.15,1010.15,1010.15,0
1988-05-11,994.35,994.35,994.35,994.35,994.35,0
1988-05-13,1006.97,1006.97,1006.97,1006.97,1006.97,0
1988-05-16,1049.59,1049.59,1049.59,1049.59,1049.59,0
1988-05-17,1046.36,1046.36,1046.36,1046.36,1046.36,0
1988-05-18,1043.20,1043.20,1043.20,1043.20,1043.20,0
1988-05-19,1020.32,1020.32,1020.32,1020.32,1020.32,0
1988-05-20,1031.33,1031.33,1031.33,1031.33,1031.33,0
1988-05-24,1031.92,1031.92,1031.92,1031.92,1031.92,0
1988-05-25,1043.61,1043.61,1043.61,1043.61,1043.61,0
1988-05-26,1046.62,1046.62,1046.62,1046.62,1046.62,0
1988-05-27,1054.92,1054.92,1054.92,1054.92,1054.92,0
1988-05-30,1064.61,1064.61,1064.61,1064.61,1064.61,0
1988-05-31,1075.66,1075.66,1075.66,1075.66,1075.66,0
1988-06-01,1095.43,1095.43,1095.43,1095.43,1095.43,0
1988-06-03,1102.03,1102.03,1102.03,1102.03,1102.03,0
1988-06-06,1105.91,1105.91,1105.91,1105.91,1105.91,0
1988-06-07,1101.13,1101.13,1101.13,1101.13,1101.13,0
1988-06-08,1097.67,1097.67,1097.67,1097.67,1097.67,0
1988-06-09,1125.66,1125.66,1125.66,1125.66,1125.66,0
1988-06-10,1115.78,1115.78,1115.78,1115.78,1115.78,0
1988-06-13,1122.26,1122.26,1122.26,1122.26,1122.26,0
1988-06-14,1117.84,1117.84,1117.84,1117.84,1117.84,0
1988-06-15,1134.02,1134.02,1134.02,1134.02,1134.02,0
1988-06-16,1124.14,1124.14,1124.14,1124.14,1124.14,0
1988-06-20,1104.70,1104.70,1104.70,1104.70,1104.70,0
1988-06-21,1119.56,1119.56,1119.56,1119.56,1119.56,0
1988-06-22,1137.23,1137.23,1137.23,1137.23,1137.23,0
1988-06-23,1135.77,1135.77,1135.77,1135.77,1135.77,0
1988-06-24,1131.19,1131.19,1131.19,1131.19,1131.19,0
1988-06-27,1138.84,1138.84,1138.84,1138.84,1138.84,0
1988-06-28,1124.73,1124.73,1124.73,1124.73,1124.73,0
1988-06-29,1133.52,1133.52,1133.52,1133.52,1133.52,0
