Date,Open,High,Low,Close,Adj Close,Volume
2000-07-17,248.00,248.00,243.75,244.00,244.00,7233
2000-07-18,244.25,247.50,241.00,241.25,241.25,6523
2000-07-19,241.25,246.00,239.00,245.00,245.00,7136
2000-07-20,244.00,247.50,244.00,247.00,247.00,3792
2000-07-21,247.00,248.50,246.50,247.25,247.25,4380
2000-07-24,247.25,249.50,242.50,245.50,245.50,4393
2000-07-25,244.75,247.00,243.00,245.50,245.50,5973
2000-07-26,245.50,247.50,243.00,244.25,244.25,3755
2000-07-27,244.25,247.75,244.25,245.75,245.75,5397
2000-07-28,246.00,252.00,246.00,248.50,248.50,5698
2000-07-31,247.75,248.25,245.25,246.00,246.00,6131
2000-08-01,246.25,249.75,242.50,245.00,245.00,6981
2000-08-02,245.00,247.25,244.50,246.50,246.50,5729
2000-08-03,246.25,247.50,241.75,242.25,242.25,7054
2000-08-04,241.50,241.50,236.50,236.50,236.50,6080
2000-08-07,237.00,239.75,233.00,233.50,233.50,6493
2000-08-08,234.50,237.00,234.00,236.50,236.50,8204
2000-08-09,236.00,237.50,233.50,235.50,235.50,7031
2000-08-10,235.50,238.00,235.00,235.75,235.75,10411
2000-08-11,236.00,238.00,232.50,236.75,236.75,7029
2000-08-14,237.00,239.00,236.00,238.50,238.50,2579
2000-08-15,239.00,241.50,238.25,240.50,240.50,3775
2000-08-16,241.00,244.50,241.00,243.50,243.50,6007
2000-08-17,244.75,245.50,238.50,239.50,239.50,4709
2000-08-18,239.50,241.25,237.50,238.50,238.50,5945
2000-08-21,238.75,238.75,234.00,236.25,236.25,5510
2000-08-22,236.50,238.00,234.50,234.75,234.75,5745
2000-08-23,234.75,235.25,232.00,233.75,233.75,3472
2000-08-24,234.00,240.50,233.75,240.50,240.50,8565
2000-08-25,240.00,244.25,240.00,241.50,241.50,8198
2000-08-28,245.00,247.00,241.50,242.50,242.50,7918
2000-08-29,243.50,251.00,243.50,250.25,250.25,10671
2000-08-30,249.00,250.75,245.75,246.25,246.25,9
